ticker,row_count,start_date,end_date,close_na_ratio
AAPL,2610,2016-01-01,2026-01-01,0.0
ABBV,2610,2016-01-01,2026-01-01,0.0
AMD,2610,2016-01-01,2026-01-01,0.0
AMZN,2610,2016-01-01,2026-01-01,0.0
AVGO,2610,2016-01-01,2026-01-01,0.0
BAC,2610,2016-01-01,2026-01-01,0.0
COST,2610,2016-01-01,2026-01-01,0.0
GOOGL,2610,2016-01-01,2026-01-01,0.0
HD,2610,2016-01-01,2026-01-01,0.0
JPM,2610,2016-01-01,2026-01-01,0.0
KO,2610,2016-01-01,2026-01-01,0.0
LLY,2610,2016-01-01,2026-01-01,0.0
META,2610,2016-01-01,2026-01-01,0.0
MRK,2610,2016-01-01,2026-01-01,0.0
MSFT,2610,2016-01-01,2026-01-01,0.0
NVDA,2610,2016-01-01,2026-01-01,0.0
PEP,2610,2016-01-01,2026-01-01,0.0
PG,2610,2016-01-01,2026-01-01,0.0
UNH,2610,2016-01-01,2026-01-01,0.0
XOM,2610,2016-01-01,2026-01-01,0.0
